thing,category
Apples,Fruit
Apples,Food
Apples,Everything
Bananas,Fruit
Bananas,Food
Bananas,Everything
Cereal,Food
Cereal,Everything
The Godfather,Movies
The Godfather,Everything
Titanic,Movies
Titanic,Everything
Steak,Food
Steak,Everything
Tea,Everything
Eevee,Pokemon
Eevee,Everything
Pikachu,Pokemon
Pikachu,Everything
Squirtle,Pokemon
Squirtle,Everything
Charmander,Pokemon
Charmander,Everything
Bulbasaur,Pokemon
Bulbasaur,Everything
Charizard,Pokemon
Charizard,Everything
Blastoise,Pokemon
Blastoise,Everything
Venusaur,Pokemon
Venusaur,Everything
Pidgey,Pokemon
Pidgey,Everything
Wartortle,Pokemon
Wartortle,Everything
Charmeleon,Pokemon
Charmeleon,Everything
Nidoran Male,Pokemon
Nidoran Male,Everything
Nidoran Female,Pokemon
Nidoran Female,Everything
Mew,Pokemon
Mew,Everything
MewTwo,Pokemon
MewTwo,Everything
Scyther,Pokemon
Scyther,Everything
Teeth,Everything
Tires,Everything
Toyota Corolla,Everything
