name,image
Apples,seed/images/things/Apples.webp
Bananas,seed/images/things/Bananas.webp
Cereal,seed/images/things/Cereal.webp
The Godfather,seed/images/things/The_Godfather.webp
Titanic,seed/images/things/Titanic.webp
Steak,seed/images/things/Steak.webp
Tea,seed/images/things/Tea.webp
Eevee,seed/images/things/Eevee.webp
Pikachu,seed/images/things/Pikachu.webp
Squirtle,seed/images/things/Squirtle.webp
Charmander,seed/images/things/Charmander.webp
Bulbasaur,seed/images/things/Bulbasaur.webp
Teeth,seed/images/things/Teeth.webp
Tires,seed/images/things/Tires.webp
Toyota Corolla,seed/images/things/Toyota_Corolla.webp
Scyther,seed/images/things/Scyther.webp
Charizard,seed/images/things/Charizard.webp
Blastoise,seed/images/things/Blastoise.webp
Venusaur,seed/images/things/Venusaur.webp
Pidgey,seed/images/things/Pidgey.webp
Wartortle,seed/images/things/Wartortle.webp
Charmeleon,seed/images/things/Charmeleon.webp
Nidoran Male,seed/images/things/Nidoran_Male.webp
Nidoran Female,seed/images/things/Nidoran_Female.webp
Mew,seed/images/things/Mew.webp
MewTwo,seed/images/things/MewTwo.webp
